index,category,title,question,group,url,contact,answer
10,Hospital-wide shared services - comprehensive business,Employee account (SSO) application and password setting,How to change the bound backup mailbox?,Information,https://its.sinica.edu.tw/pages/3256,Information Service Desk 02-2789-8855,"To change the bound backup mailbox, you need to fill in the ""Personal Backup Email Setting Application Form"", and then send it directly to the information service office for setting."
11,Hospital-wide shared services - comprehensive business,single service window,What types of information issues can the Single Service Window help me with?,Information,https://its.sinica.edu.tw/pages/1672,Information Service Desk 02-2789-8855,"The single service window can help you solve various problems related to the information system of Academia Sinica provided by the Information Service Office, allowing you to solve the problems in the shortest time!"
12,Hospital-wide shared services - comprehensive business,single service window,How can I contact you if I have a problem during non-working hours?,Information,https://its.sinica.edu.tw/pages/1672,Information Service Desk 02-2789-8855,"If you encounter problems during non-working hours, you can choose to send us a letter at its@gate.sinica.edu.tw, or call us at (02)2789-8855, remember to leave your Contact information, we will contact you during working hours. If it is an emergency, you can also contact us through the information staff of each office."
13,Hospital-wide shared services - comprehensive business,single service window,What are the benefits of using the online virtual help desk to raise inquiries?,Information,https://its.sinica.edu.tw/pages/1672,Information Service Desk 02-2789-8855,"There are many advantages to making inquiries through the online virtual service desk, such as sharing screens, writing text messages, turning on microphones and video calls, so that service personnel can understand your operation methods in real time, improving communication efficiency and speed of problem solving."
14,Hospital-wide shared services - comprehensive business,single service window,What number should I dial if I want to make a phone call in person?,Information,https://its.sinica.edu.tw/pages/1672,Information Service Desk 02-2789-8855,"If you would like to call and consult in person, you can dial the number 02-2789-8855."
15,Hospital-wide shared services - comprehensive business,single service window,What are the service desk hours?,Information,https://its.sinica.edu.tw/pages/1672,Information Service Desk 02-2789-8855,The Service Desk is open from 8:30 am to 12:20 am and from 1:20 pm to 5 pm.
16,Hospital-wide shared services - comprehensive business,single service window,"When I need help urgently, how can I contact you through the information staff of each firm?",Information,https://its.sinica.edu.tw/pages/1672,Information Service Desk 02-2789-8855,"When you need emergency assistance, you can contact us through the information staff of each office. They can help you convey the message to us through the group. Remember that you can also leave a phone call or letter during non-working hours, and we will reply you during working hours."
17,Hospital-wide shared services - comprehensive business,Information Course Promotion Instructions,Who is this information promotion course open to?,Information,https://its.sinica.edu.tw/pages/1673,Information Service Desk 02-2789-8855,"This information promotion course is open to current employees of Academia Sinica, as long as they have an SSO account, they can participate."
18,Hospital-wide shared services - comprehensive business,Information Course Promotion Instructions,Where can I find more information about these courses?,Information,https://its.sinica.edu.tw/pages/1673,Information Service Desk 02-2789-8855,You can find more information about these courses at this website: https://its.sinica.edu.tw/pages/1645.
19,Hospital-wide shared services - comprehensive business,Information Course Promotion Instructions,How do I register for these information courses?,Information,https://its.sinica.edu.tw/pages/1673,Information Service Desk 02-2789-8855,"To register for information promotion courses, first log in to the administrative service system of Academia Sinica, and then enter the personnel training system to register. You will be notified by email of the registration result, and you will be reminded again the day before the class."
20,Hospital-wide shared services - comprehensive business,Information Course Promotion Instructions,What if public servants are required to study hours?,Information,https://its.sinica.edu.tw/pages/1673,Information Service Desk 02-2789-8855,"If you need the number of study hours for civil servants, as long as you follow the actual number of class hours, the personnel office will help you log in. Remember to sign in when you are in class, otherwise you will not be able to confirm that you have come to class."
21,Hospital-wide shared services - comprehensive business,Information Course Promotion Instructions,Do I have to sign in for class?,Information,https://its.sinica.edu.tw/pages/1673,Information Service Desk 02-2789-8855,"Yes, you must sign in during the class, because the sign-in can be used as an attendance record check, but if you forget to sign-in, no supplementary sign-in after class will be provided."
22,Hospital-wide shared services - comprehensive business,Information Course Promotion Instructions,How to know the registration result and class notice?,Information,https://its.sinica.edu.tw/pages/1673,Information Service Desk 02-2789-8855,"You will be notified of the registration result and class notice by E-mail, and will be reminded again the day before the class. If you have not received the notification, you can send a letter to its@gate.sinica.edu.tw or call (02) 2789-8855."
23,Hospital-wide shared services - comprehensive business,Information Course Promotion Instructions,How do I cancel my registration if I cannot attend the course?,Information,https://its.sinica.edu.tw/pages/1673,Information Service Desk 02-2789-8855,"If you are unable to attend the course, please inform through the electronic service desk of the Information Office more than one day before the start of the course, so that it is convenient to arrange the waiting list."
24,Hospital-wide shared services - comprehensive business,Digital Learning Zone Description,What types of courses are offered in the Digital Learning Zone?,Information,https://its.sinica.edu.tw/pages/1674,Information Service Desk 02-2789-8855,"The courses provided in the digital learning area include digital courses such as knowledge feast live broadcast, academic ethics, research ethics, environmental education, integrity ethics, information security, laboratory safety, biosafety, software operation, programming, data analysis and micro-learning. Welcome Colleagues choose to read."
25,Hospital-wide shared services - comprehensive business,Digital Learning Zone Description,What identity do I need to log into the Digital Learning Zone?,Information,https://its.sinica.edu.tw/pages/1674,Information Service Desk 02-2789-8855,You only need to be a working colleague of Academia Sinica and have an SSO account to log in to the digital learning area.
26,Hospital-wide shared services - comprehensive business,Digital Learning Zone Description,How to bind my e-government account when logging in for the first time?,Information,https://its.sinica.edu.tw/pages/1674,Information Service Desk 02-2789-8855,"When logging in for the first time, you need to bind the e-government account. You can refer to the detailed setting instructions on this website: https://its.sinica.edu.tw/pages/1674. Follow the instructions and you will be able to bind successfully."
27,Hospital-wide shared services - comprehensive business,Digital Learning Zone Description,Where can I check my individual study hours?,Information,https://its.sinica.edu.tw/pages/1674,Information Service Desk 02-2789-8855,You can check the number of personal learning hours through the Academia Sinica's administrative service personal learning hours inquiry system.
28,Hospital-wide shared services - comprehensive business,Acting in conjunction with this court?,What kind of service is it that the courts act jointly?,Information,https://its.sinica.edu.tw/pages/1675,Information Service Desk 02-2789-8855,"The Academia Sinica Joint Action is an online calendar developed by the Information Service Department of Academia Sinica, which is provided to more than 40 units in Academia Sinica. Everyone can jointly build important events, conferences, seminars and other information on this platform, and present them in a unified manner. In addition to viewing the overall calendar, you can also view the calendars of the Mathematical and Physical Sciences Group, the Life Sciences Group, the Humanities and Social Sciences Group, or the Headquarters."
29,Hospital-wide shared services - comprehensive business,joint software procurement,"If our unit wants to handle the joint procurement software, at least how many units need to participate together?",Information,https://its.sinica.edu.tw/pages/1676,Information Service Desk 02-2789-8855,"If your unit wants to handle the joint procurement software, at least three or more units need to participate together."
30,Hospital-wide shared services - comprehensive business,Hospital-wide authorization software launched,Which operating systems and Office versions are supported by this hospital-wide authorized software activation service?,Information,https://its.sinica.edu.tw/pages/1677,Information Service Desk 02-2789-8855,"Operating systems supported by this startup service include Windows 10, 8, 7, and Vista, as well as various versions of Office 2013, 2016, and 2019."
31,Hospital-wide shared services - comprehensive business,Hospital-wide authorization software launched,How long do I have a grace period to complete the KMS launch certification after installing a large number of licensed products?,Information,https://its.sinica.edu.tw/pages/1677,Information Service Desk 02-2789-8855,"After installing a number of licensed products, you have 30 days to complete the KMS startup certification."
32,Hospital-wide shared services - comprehensive business,Hospital-wide authorization software launched,What do I need to do to restart the certification if the computer has been out of the hospital environment for more than 180 days?,Information,https://its.sinica.edu.tw/pages/1677,Information Service Desk 02-2789-8855,"If the computer is not in the hospital environment for more than 180 days, you have to bring the computer back to the hospital, and then choose an activation method from the KMS server to complete the authentication. You can refer to this website to learn about different ways to start: https://its.sinica.edu.tw/pages/1677."
33,Hospital-wide shared services - comprehensive business,Hospital-wide authorization software launched,What three different startup methods does the KMS server provide?,Information,https://its.sinica.edu.tw/pages/1677,Information Service Desk 02-2789-8855,"You can refer to the website https://its.sinica.edu.tw/pages/1677 of the Information Service Department of Academia Sinica, there will be three different KMS startup methods for you to choose from."
34,Hospital-wide shared services - comprehensive business,Hospital-wide authorization software launched,Where can I find detailed instructions and how-to guides for KMS startup certification?,Information,https://its.sinica.edu.tw/pages/1677,Information Service Desk 02-2789-8855,"You can go to the website of the Information Service Department of Academia Sinica at https://its.sinica.edu.tw/pages/1677, where there are detailed instructions and operation guides for KMS activation certification."
35,Hospital-wide shared services - comprehensive business,personal web service,Can I have a personal web space after I get a gate email account?,Information,https://its.sinica.edu.tw/pages/1678,Information Service Desk 02-2789-8855,"Yes, after you obtain the gate email account, you will also have your own personal website space with a capacity of 1G."
36,Hospital-wide shared services - comprehensive business,personal web service,How big is my web space capacity?,Information,https://its.sinica.edu.tw/pages/1678,Information Service Desk 02-2789-8855,Your web space capacity is 1G.
37,Hospital-wide shared services - comprehensive business,personal web service,Does this service support dynamic pages?,Information,https://its.sinica.edu.tw/pages/1678,Information Service Desk 02-2789-8855,"No, this service only supports static web pages."
38,Hospital-wide shared services - comprehensive business,personal web service,How to upload my webpage files to the server?,Information,https://its.sinica.edu.tw/pages/1678,Information Service Desk 02-2789-8855,"You can use a program that supports the SFTP security protocol, such as winscp or filezilla, and upload the web file to the server's public_html directory. This will allow you to browse through your personal URL."
39,Hospital-wide shared services - comprehensive business,personal web service,What files can I put inside the public_html directory?,Information,https://its.sinica.edu.tw/pages/1678,Information Service Desk 02-2789-8855,"You can put files that can be made public in the public_html directory, so that others can browse these files on your personal website. Note, however, that dynamic pages are not yet supported!"
40,Hospital-wide shared services - comprehensive business,personal web service,Does the personal web service conduct virus scanning regularly?,Information,https://its.sinica.edu.tw/pages/1678,Information Service Desk 02-2789-8855,"Yes, Personal Web Services automatically scans for viruses on a daily basis. If a suspected poisoned file is found, they will notify you by email and automatically send a web page usage status data analysis report."
41,Hospital-wide shared services - comprehensive business,personal web service,How will I be notified if a suspected poisoned file is found?,Information,https://its.sinica.edu.tw/pages/1678,Information Service Desk 02-2789-8855,"If a suspected poisoned file is found, it will actively notify you via E-mail, and automatically send a web page usage status data analysis report."
42,Hospital-wide shared services - comprehensive business,AWS Cloud Service Solution,How does Academia Sinica provide AWS cloud service discount plan?,Information,https://its.sinica.edu.tw/pages/1680,Information Service Desk 02-2789-8855,"Academia Sinica has joined AWS Educate member institutions, so that colleagues of Academia Sinica can get more free quota points every year when they apply for using AWS cloud services."
43,Hospital-wide shared services - comprehensive business,AWS Cloud Service Solution,How many application methods are there for the AWS Educate program?,Information,https://its.sinica.edu.tw/pages/1680,Information Service Desk 02-2789-8855,There are two ways to apply.
44,Hospital-wide shared services - comprehensive business,AWS Cloud Service Solution,Which plan is recommended for students and educators with credit cards to enroll?,Information,https://its.sinica.edu.tw/pages/1680,Information Service Desk 02-2789-8855,"For students and educators who have credit cards, the AWS Educate plan for registering an AWS account is recommended. Because this plan can provide a higher free quota, and can use all AWS services. And it is recommended to register with a long-term personal mailbox, so that you can receive relevant notifications even if you leave your job or graduate."
45,Hospital-wide shared services - comprehensive business,AWS Cloud Service Solution,What AWS plan should I choose if I don't have a credit card?,Information,https://its.sinica.edu.tw/pages/1680,Information Service Desk 02-2789-8855,"If you do not have a credit card, you can choose the AWS Starter Account plan to apply for an AWS account. Although the free quota is low and some AWS services cannot be used, it can still meet the needs of students or educators without credit cards. Remember to use the mailbox of Academia Sinica to register."
46,Hospital-wide shared services - comprehensive business,AWS Cloud Service Solution,"After the AWS account is registered, is there any limit to the free quota?",Information,https://its.sinica.edu.tw/pages/1680,Information Service Desk 02-2789-8855,"After registering an AWS account, the free quota will be limited. If you choose an AWS Account to register for the AWS Educate plan, you will get a higher free quota and can use all AWS services. However, if you choose an AWS Starter Account, the free quota will be lower, and you will not be able to use some specific AWS services."
47,Hospital-wide shared services - comprehensive business,AWS Cloud Service Solution,Where can I find the application process and information?,Information,https://its.sinica.edu.tw/pages/1680,Information Service Desk 02-2789-8855,The application process and information can be found on the website of Academia Sinica at https://its.sinica.edu.tw/pages/1680.
48,Hospital-wide shared services - comprehensive business,AWS Cloud Service Solution,"If I graduate or leave my job, can I continue to use the service?",Information,https://its.sinica.edu.tw/pages/1680,Information Service Desk 02-2789-8855,"If you graduate or leave your job, you can still continue to use this service as long as you register an AWS account with your personal long-term mailbox. However, if you register with the mailbox of Academia Sinica, you will not be able to receive relevant notification letters once you leave your job or graduate and cancel the mailbox. So it is recommended that you register with your personal long-term mailbox."
49,Hospital-wide shared services - comprehensive business,Web space service,"I want to apply for web space service, where should I download the application form?",Information,https://its.sinica.edu.tw/pages/2366,Information Service Desk 02-2789-8855,"If you want to apply for web space service, you can go to the ""Download Area"" of the website of the Information Service Department of Academia Sinica to find the ""Web Space Service Application Form"" and download it."
50,Hospital-wide shared services - comprehensive business,Web space service,Does this service only provide static web space?,Information,https://its.sinica.edu.tw/pages/2366,Information Service Desk 02-2789-8855,"Yes, this service mainly provides static web space. If you have dynamic website requirements, you can consider using your own cloud service."
51,Hospital-wide shared services - comprehensive business,Web space service,Does the default service URL end with *.project.sinica.edu.tw?,Information,https://its.sinica.edu.tw/pages/2366,Information Service Desk 02-2789-8855,"Not necessarily, it is recommended that the default service URL end with *.project.sinica.edu.tw."
52,Hospital-wide shared services - comprehensive business,Web space service,"If I want to build a dynamic website, is it recommended that I use my own cloud service?",Information,https://its.sinica.edu.tw/pages/2366,Information Service Desk 02-2789-8855,"Yes, if you want to build a dynamic website, I suggest you use your own cloud service."
53,Hospital-wide shared services - comprehensive business,Web space service,How do I upload my own webpage content to the webpage space I have applied for?,Information,https://its.sinica.edu.tw/pages/2366,Information Service Desk 02-2789-8855,"You can use a program that supports the SFTP security protocol, such as winscp or filezilla, and upload the web file to the server's public_html directory. If you need a dynamic website, it is recommended to use your own cloud service."
54,Hospital-wide Shared Services-Internet Information,Personal Cloud Storage Service,Is the Academia Sinica personal cloud storage service provided to every colleague for free?,Information,https://its.sinica.edu.tw/pages/1683,Information Service Desk 02-2789-8855,"Yes, the personal cloud storage service of Academia Sinica is provided to every colleague for free."
55,Hospital-wide Shared Services-Internet Information,Domain Name Service (DNS),How do I apply for Domain Name Service (DNS)?,Information,https://its.sinica.edu.tw/pages/1689,Information Service Desk 02-2789-8855,"You can refer to this link to download the application form: https://its.sinica.edu.tw/posts/119628#dns. But before applying, remember to confirm with the information room of your research institute or center, because some places manage DNS domain names by themselves. Once confirmed, you can submit an application!"
56,Hospital-wide Shared Services-Internet Information,Own cloud service,How do I apply for my own cloud service?,Information,https://its.sinica.edu.tw/pages/1690,Information Service Desk 02-2789-8855,"If you want to apply for your own cloud service, you must first apply to the information room representative of the unit you belong to. The applicant unit must appoint a person in charge, and the person in charge must have the ability to manage the mainframe. If you want to know more details, you can visit this website: https://its.sinica.edu.tw/pages/1690. For questions about use, you can ask the staff in the information room of the unit first."
57,Hospital-wide Shared Services-Internet Information,Own cloud service,Do I need to pay for using my own cloud service?,Information,https://its.sinica.edu.tw/pages/1690,Information Service Desk 02-2789-8855,"No, the current self-owned cloud service is free to apply for and use."
58,Hospital-wide Shared Services-Internet Information,Own cloud service,In what areas can private cloud services be used?,Information,https://its.sinica.edu.tw/pages/1690,Information Service Desk 02-2789-8855,"Self-owned cloud services can be used in research and administrative operations, such as quickly establishing, adjusting or eliminating virtual machines, so that various units can use information resources more effectively."
59,Hospital-wide Shared Services-Internet Information,Own cloud service,How to quickly create or adjust a virtual machine?,Information,https://its.sinica.edu.tw/pages/1690,Information Service Desk 02-2789-8855,"To quickly create or adjust a virtual machine, you only need to apply for use through its own cloud service, and then the information room representatives of various research institutes and research centers can help you apply. If you encounter problems during use, you can ask the managers (personnel in the information room) of each unit for assistance!"
60,Hospital-wide Shared Services-Internet Information,Own cloud service,"If the person in charge is replaced, what procedures should be followed?",Information,https://its.sinica.edu.tw/pages/1690,Information Service Desk 02-2789-8855,"When the person in charge changes, it is necessary to inform the information service office."
61,Hospital-wide Shared Services-Internet Information,Own cloud service,What are the requirements for the person in charge of the applicant unit?,Information,https://its.sinica.edu.tw/pages/1690,Information Service Desk 02-2789-8855,The person in charge of the applicant unit needs to have the ability to manage the host computer.
62,Hospital-wide Shared Services-Internet Information,Own cloud service,"If I have questions about usage, who can I ask for answers?",Information,https://its.sinica.edu.tw/pages/1690,Information Service Desk 02-2789-8855,"If you have any questions about using it, you can first ask the manager of your unit, that is, the information room staff, to answer it."
63,Hospital-wide Shared Services-Internet Information,Own cloud service,What are the specifications of this service that I need to pay attention to?,Information,https://its.sinica.edu.tw/pages/1690,Information Service Desk 02-2789-8855,"This self-owned cloud service has some specifications that need to be paid attention to! First of all, the applicant unit must appoint a person in charge who must have the ability to manage the mainframe. If the person in charge changes, remember to tell the information service office, they will help update the information. For more detailed service content and specifications, you can go to the website https://its.sinica.edu.tw/pages/1690."
64,Hospital-wide Shared Services-Internet Information,Own cloud service,How can I view the description website of my own cloud service?,Information,https://its.sinica.edu.tw/pages/1690,Information Service Desk 02-2789-8855,"If you want to view the explanation website of your own cloud service, just open https://its.sinica.edu.tw/pages/1690 with your web browser! All service content and related specifications are there. If there is any update later, it will also be announced on that website. If you encounter problems in the process of using it, you can ask the information room personnel of your unit first."
65,Hospital-wide Shared Services-Internet Information,Own cloud service,How do I know if there is an update to the service description?,Information,https://its.sinica.edu.tw/pages/1690,Information Service Desk 02-2789-8855,"If there is an update to the service description, it will be announced on the website of the Information Department, and you can always pay attention to that website. The URL is https://its.sinica.edu.tw/pages/1690."
66,Hospital-wide Shared Services-Internet Information,eduroam verification service,What is Eduroam verification service?,Information,https://its.sinica.edu.tw/pages/1691,Information Service Desk 02-2789-8855,"Eduroam is a WLAN roaming program among international educational and scientific institutions, which enables global educational and scientific institutions to share WLAN services. As long as colleagues in Academia Sinica apply for an Eduroam account, they can connect to the Internet in other academic research institutions participating in wireless network roaming."
67,Hospital-wide Shared Services-Internet Information,eduroam verification service,How do I apply for an eduroam account?,Information,https://its.sinica.edu.tw/pages/1691,Information Service Desk 02-2789-8855,"To apply for an eduroam account, you can first go to the administrative service website of Academia Sinica, then click on the Eduroam account in the personal service, and set a password. The account number will be your employee SSO account plus @edutoam.sinica.edu.tw."
68,Hospital-wide Shared Services-Internet Information,eduroam verification service,Which academic research institutes provide eduroam wireless network roaming?,Information,https://its.sinica.edu.tw/pages/1691,Information Service Desk 02-2789-8855,"You can check the website of ""TANet Wireless Network Roaming Exchange Center"" to know the participating units in China, and the participating units abroad can check through the official website of eduroam!"
69,Hospital-wide Shared Services-Internet Information,eduroam verification service,What is the format of eduroam account number?,Information,https://its.sinica.edu.tw/pages/1691,Information Service Desk 02-2789-8855,The format of the eduroam account is to add @edutoam.sinica.edu.tw after the employee SSO account.
70,Hospital-wide Shared Services-Internet Information,eduroam verification service,"Using eduroam abroad, which website can I check to find participating units?",Information,https://its.sinica.edu.tw/pages/1691,Information Service Desk 02-2789-8855,"When using eduroam abroad, you can check this website to find participating units: https://www.eduroam.org."
71,Hospital-wide Shared Services-Internet Information,eduroam verification service,What precautions should be taken when connecting to the Internet outside Academia Sinica?,Information,https://its.sinica.edu.tw/pages/1691,Information Service Desk 02-2789-8855,"When connecting to the Internet outside the Academia Sinica, pay attention to finding the corresponding wireless network signal and consult the local information unit. At the same time, you must abide by the usage regulations of the local wireless network. In addition, since this service is in cooperation with units outside Academia Sinica, if you cannot connect, it may be due to local facilities, network transmission conditions or verification units."
72,Hospital-wide Shared Services-Internet Information,eduroam verification service,What are the possible reasons for not being able to connect?,Information,https://its.sinica.edu.tw/pages/1691,Information Service Desk 02-2789-8855,"When the connection cannot be made, the possible reasons include the local facilities outside the hospital, the local network transmission status and the verification unit."
73,Hospital-wide Shared Services-Internet Information,eduroam verification service,What regulations do I need to follow when using eduroam?,Information,https://its.sinica.edu.tw/pages/1691,Information Service Desk 02-2789-8855,"When using eduroam, you must abide by the usage regulations of the local wireless network. When connecting to the Internet outside Academia Sinica, you need to obtain relevant information from the local information unit."
74,Hospital-wide Shared Services-Internet Information,Campus wireless network,What are the three types of wireless networks in Academia Sinica for everyone to use?,Information,https://its.sinica.edu.tw/pages/1684,Information Service Desk 02-2789-8855,"There are three types of wireless networks provided by Academia Sinica, namely AS_Secure employee wireless network, eduroam education wireless network roaming and AS_Guest guest wireless network."
75,Hospital-wide Shared Services-Internet Information,Campus wireless network,In which areas is the information service office mainly responsible for wireless network construction?,Information,https://its.sinica.edu.tw/pages/1684,Information Service Desk 02-2789-8855,"The Information Service Office is mainly responsible for the establishment of wireless networks in public spaces, the headquarters of the Institute, and the Humanities Museum."
76,Hospital-wide Shared Services-Internet Information,Campus wireless network,What should a unit that wants to join the wireless network of Academia Sinica do?,Information,https://its.sinica.edu.tw/pages/1684,Information Service Desk 02-2789-8855,"For information on the introduction of wireless networks in public areas, please refer to the 27th information business coordination meeting of our hospital and the 30th symposium on the exchange of experience between supervisors and managers of the information room (https://its.sinica.edu.tw/posts /119606 ) Instructions on ""Wireless Network Service Mode in Public Areas of the Hospital"". It is recommended that you conduct an in-depth discussion with the network team of the Information Office after evaluating"
77,Hospital-wide Shared Services-Internet Information,Campus wireless network,How to set up the wireless network of Academia Sinica?,Information,https://its.sinica.edu.tw/pages/1684,Information Service Desk 02-2789-8855,"To set up the wireless network of Academia Sinica, you can refer to this website: https://its.sinica.edu.tw/pages/1684. Here is a detailed description of how to set it!"
78,Hospital-wide Shared Services-Internet Information,Campus wireless network,Where does Academia Sinica's wireless network cover?,Information,https://its.sinica.edu.tw/pages/1684,Information Service Desk 02-2789-8855,"The wireless network coverage of Academia Sinica includes indoor public spaces (such as the International Conference Hall of Humanities Hall, Activity Center, and public meeting rooms of various units), the headquarters of the Academy, the Humanities Hall, and information centers, genome centers, etc. Wi-Fi in the unit, as well as outdoor common spaces. For more information about the scope, please refer to https://its.sinica.edu.tw/pages/1684."
79,Hospital-wide Shared Services-Internet Information,conference network,"I want to rent a conference network, how do I apply?",Information,https://its.sinica.edu.tw/pages/1684,Information Service Desk 02-2789-8855,"To apply for the conference network, you have to fill out the conference network service application form, including the test site deployment time. Remember to submit the application form to the information service office three months to one week before the meeting! However, if you are using permanent wireless networks such as AS_Secure, AS_Guest or eduroam, you do not need to apply and pay. For more information, please refer to this URL: https://its.sinica.edu.tw/pages/1684."
80,Hospital-wide Shared Services-Internet Information,conference network,"After applying for a conference network, when can I arrange the venue?",Information,https://its.sinica.edu.tw/pages/1684,Information Service Desk 02-2789-8855,"When applying for a conference network, you can fill in the time of the test field. Therefore, the venue setting time can be arranged in advance in your application form."
81,Hospital-wide Shared Services-Internet Information,conference network,"If I hold a conference at Academia Sinica, how should I calculate the conference network fee?",Information,https://its.sinica.edu.tw/pages/1684,Information Service Desk 02-2789-8855,"If you are a member of the Academia Sinica holding a conference at the Academia Sinica, the conference network fee will be reduced by 50%. However, if you choose to use permanent wireless network services, such as AS_Secure, AS_Guest and eduroam, there is no additional application or fee required. For more information, please refer to this URL: https://its.sinica.edu.tw/pages/1684."
82,Hospital-wide Shared Services-Internet Information,conference network,"Do I need to apply for AS_Secure, AS_Guest and eduroam wireless network?",Information,https://its.sinica.edu.tw/pages/1684,Information Service Desk 02-2789-8855,"AS_Secure is logged in with the employee account (SSO account) of the Academia Sinica; AS_Guest guest wireless network is logged in with the visitor's eduroam account or a temporary guest account, just follow the instructions on the phone; Eduroam wireless network requires To make an application, please go to the personal service of the administrative service in the hospital, click on the Eduroam account and set the password. The account is the employee SSO account@eduroam.sinica.edu.tw. For more information, please refer to this URL: https://its.sinica.edu.tw/pages/1684."
83,Hospital-wide Shared Services-Internet Information,conference network,What is the deadline for applying for a conference network?,Information,https://its.sinica.edu.tw/pages/1684,Information Service Desk 02-2789-8855,"If you want to apply for the conference network, you should submit the application form to the information service office three months to one week before the conference."
84,Hospital-wide Shared Services-Internet Information,Virtual network VPN connection service,How can I obtain the network IP of Academia Sinica through a VPN connection when I am not in Academia Sinica?,Information,https://its.sinica.edu.tw/pages/1685,Information Service Desk 02-2789-8855,"When you are not in Academia Sinica, you can use the VPN remote connection service provided by Academia Sinica Information Service. First of all, you need to complete the activation of the VPN service permission and obtain the two-factor authentication code, which is the exclusive dynamic password (OTP). When using VPN, enter your gate email account, password and exclusive dynamic password (OTP) to log in. If you have not used the VPN service for 90 days, the system will automatically shut down, and you can apply for opening again if necessary. If you need more detailed connection instructions, please refer to https://its.sinica.edu.tw/pages/1685."
85,Hospital-wide Shared Services-Internet Information,Virtual network VPN connection service,How to apply for the authorization and obtain the two-factor authentication code when using a VPN for the first time?,Information,https://its.sinica.edu.tw/pages/1685,Information Service Desk 02-2789-8855,"To use VPN for the first time, you need to apply for permission to use it first, and then obtain a two-factor authentication code, which is the exclusive OTP. When logging in to the VPN, you need to enter the gate email account, password and exclusive dynamic password (OTP) to log in. If you need more detailed connection instructions, you can refer to this URL: https://its.sinica.edu.tw/pages/1685."
86,Hospital-wide Shared Services-Internet Information,Virtual network VPN connection service,What information do I need to enter when logging into the VPN?,Information,https://its.sinica.edu.tw/pages/1685,Information Service Desk 02-2789-8855,"To log in to the VPN, you need to enter the gate email account, password, and exclusive OTP."
87,Hospital-wide Shared Services-Internet Information,Virtual network VPN connection service,What happens if I haven't used a VPN for a long time?,Information,https://its.sinica.edu.tw/pages/1685,Information Service Desk 02-2789-8855,"If you haven't used VPN for a long time and there is no usage record within 90 days, the system will automatically close the service. If you want to use it later, you have to apply for activation again."
